DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-09 10:58:48,29891.18,29898.75,29883.50,29893.81,0.00,-1.00
2026-07-09 11:00:14,29892.49,29906.50,29891.75,29900.19,0.00,-1.00
2026-07-09 11:01:15,29896.34,29913.50,29896.34,29907.88,0.00,1.00
2026-07-09 11:02:03,29902.11,29913.25,29902.11,29908.75,0.00,2.00
2026-07-09 11:03:37,29905.43,29915.00,29904.00,29910.62,0.00,2.00
2026-07-09 11:05:22,29908.03,29921.00,29908.03,29916.19,0.00,3.00
2026-07-09 11:06:20,29912.11,29924.25,29909.50,29915.94,0.00,3.00
2026-07-09 11:07:12,29914.02,29918.75,29909.00,29912.06,0.00,2.00
2026-07-09 11:08:48,29913.04,29917.25,29904.00,29909.06,0.00,2.00
2026-07-09 11:10:59,29911.05,29911.05,29901.00,29904.94,0.00,-2.00
2026-07-09 11:12:45,29908.00,29910.50,29901.00,29905.06,0.00,-2.00
2026-07-09 11:14:42,29906.53,29914.75,29896.75,29906.94,0.00,-2.00
2026-07-09 11:15:56,29906.73,29917.00,29895.25,29904.81,0.00,-3.00
2026-07-09 11:17:39,29905.77,29905.77,29892.50,29897.38,0.00,-2.00
2026-07-09 11:19:02,29901.57,29912.50,29897.00,29901.00,0.00,-2.00
2026-07-09 11:20:50,29901.29,29908.25,29895.50,29899.75,0.00,-1.00
2026-07-09 11:22:32,29900.52,29910.25,29892.50,29902.44,0.00,-1.00
2026-07-09 11:24:22,29901.48,29910.25,29896.75,29903.50,0.00,-2.00
2026-07-09 11:26:12,29902.49,29906.00,29894.75,29899.12,0.00,-1.00
2026-07-09 11:28:21,29900.81,29900.81,29885.25,29892.25,0.00,-2.00
2026-07-09 11:29:15,29896.53,29897.25,29880.75,29890.50,0.00,-2.00
2026-07-09 11:30:18,29893.51,29900.00,29893.25,29897.06,0.00,2.00
2026-07-09 11:31:28,29895.29,29912.50,29894.50,29903.44,0.00,3.00
2026-07-09 11:32:34,29899.36,29912.50,29893.50,29902.56,0.00,2.00
2026-07-09 11:34:08,29900.96,29900.96,29879.75,29888.56,0.00,2.00
2026-07-09 11:35:18,29894.76,29894.76,29871.00,29879.31,0.00,2.00
2026-07-09 11:36:06,29887.04,29887.04,29864.00,29873.06,0.00,-2.00
2026-07-09 11:36:51,29880.05,29889.00,29868.75,29877.81,0.00,-2.00
2026-07-09 11:38:08,29878.93,29885.25,29871.50,29877.56,0.00,-3.00
2026-07-09 11:39:31,29878.25,29904.50,29869.25,29887.56,0.00,-3.00
2026-07-09 11:40:21,29882.90,29910.75,29882.90,29905.94,0.00,-3.00
2026-07-09 11:41:11,29894.42,29916.50,29894.42,29909.75,0.00,2.00
2026-07-09 11:42:46,29902.09,29914.50,29902.09,29908.88,0.00,2.00
2026-07-09 11:44:47,29905.48,29913.25,29902.50,29906.44,0.00,2.00
2026-07-09 11:46:43,29905.96,29907.00,29892.25,29899.25,0.00,2.00
2026-07-09 11:48:03,29902.61,29902.61,29891.25,29896.56,0.00,2.00
2026-07-09 11:50:13,29899.58,29910.00,29896.50,29902.19,0.00,2.00
2026-07-09 11:52:35,29900.89,29909.50,29900.25,29903.50,0.00,2.00
2026-07-09 11:55:31,29902.19,29907.50,29886.00,29895.31,0.00,2.00
2026-07-09 11:57:38,29898.75,29904.50,29885.25,29893.62,0.00,2.00
2026-07-09 11:59:13,29896.19,29915.25,29893.50,29905.19,0.00,2.00
2026-07-09 12:01:00,29900.69,29920.50,29900.69,29915.50,0.00,3.00
2026-07-09 12:02:23,29908.09,29922.00,29908.09,29917.94,0.00,3.00
2026-07-09 12:04:36,29913.02,29927.75,29911.50,29921.88,0.00,3.00
2026-07-09 12:06:25,29917.45,29937.25,29917.45,29931.94,0.00,4.00
2026-07-09 12:06:47,29924.69,29939.00,29924.69,29936.81,0.00,4.00
2026-07-09 12:07:03,29930.75,29945.00,29930.75,29941.31,0.00,4.00
2026-07-09 12:07:19,29936.03,29947.25,29936.03,29944.25,0.00,4.00
2026-07-09 12:07:27,29940.14,29946.75,29938.75,29943.44,0.00,4.00
2026-07-09 12:08:38,29941.79,29949.00,29938.50,29943.00,0.00,4.00
2026-07-09 12:09:56,29942.39,29953.25,29939.00,29946.12,0.00,4.00
2026-07-09 12:10:32,29944.26,29955.00,29944.26,29953.81,0.00,4.00
2026-07-09 12:10:35,29949.04,29962.75,29949.04,29957.88,0.00,4.00
2026-07-09 12:10:50,29953.46,29969.50,29953.46,29963.44,0.00,4.00
2026-07-09 12:11:19,29958.45,29966.25,29956.25,29961.38,0.00,4.00
2026-07-09 12:13:05,29959.91,29963.00,29951.00,29958.19,0.00,4.00
2026-07-09 12:14:36,29959.05,29965.00,29954.00,29960.50,0.00,3.00
2026-07-09 12:15:56,29959.77,29970.00,29959.77,29965.50,0.00,2.00
2026-07-09 12:18:08,29962.64,29980.50,29962.64,29974.25,0.00,3.00
2026-07-09 12:19:12,29968.44,29986.75,29968.44,29982.12,0.00,2.00
2026-07-09 12:20:08,29975.29,29986.50,29975.29,29983.69,0.00,2.00
2026-07-09 12:21:12,29979.49,29989.25,29970.25,29980.19,0.00,2.00
2026-07-09 12:22:23,29979.84,29983.50,29974.00,29978.38,0.00,2.00
2026-07-09 12:24:13,29979.11,29983.00,29975.00,29979.88,0.00,2.00
2026-07-09 12:26:20,29979.49,29988.75,29976.50,29983.44,0.00,2.00
2026-07-09 12:28:06,29981.46,29991.00,29981.46,29987.38,0.00,2.00
2026-07-09 12:29:53,29984.42,29993.50,29981.00,29986.62,0.00,2.00
2026-07-09 12:31:00,29985.52,29985.52,29968.00,29976.69,0.00,-1.00
2026-07-09 12:32:04,29981.11,29981.11,29963.75,29967.62,0.00,-1.00
2026-07-09 12:33:12,29974.37,29974.37,29963.25,29966.94,0.00,-2.00
2026-07-09 12:35:06,29970.65,29983.00,29962.00,29972.38,0.00,-2.00
2026-07-09 12:36:35,29971.51,29985.75,29971.51,29978.19,0.00,-2.00
2026-07-09 12:38:37,29974.85,29977.00,29968.00,29972.56,0.00,-2.00
2026-07-09 12:40:59,29973.71,29979.00,29964.75,29973.62,0.00,-2.00
2026-07-09 12:43:18,29973.67,29980.00,29971.00,29976.31,0.00,-2.00
2026-07-09 12:46:13,29974.99,29992.00,29974.00,29983.06,0.00,2.00
2026-07-09 12:48:04,29979.03,29992.25,29979.03,29985.94,0.00,2.00
2026-07-09 12:50:33,29982.48,29986.25,29977.25,29981.00,0.00,2.00
2026-07-09 12:53:43,29981.74,29983.00,29975.00,29978.69,0.00,-1.00
2026-07-09 12:56:47,29980.21,29980.21,29968.00,29974.12,0.00,-2.00
