DateTime,Open,High,Low,Close,Volume,BidVolume,AskVolume
2026-07-09 17:00:00,29937.75,29961.00,29904.00,29907.75,3333,1690,1643
2026-07-09 17:30:00,29908.75,29927.50,29905.50,29922.00,1194,579,615
2026-07-09 18:00:00,29921.50,29964.25,29907.00,29956.00,2373,1033,1340
2026-07-09 18:30:00,29958.75,29959.00,29926.00,29932.50,2129,1130,999
2026-07-09 19:00:00,29933.25,29952.00,29820.75,29837.00,7050,3716,3334
2026-07-09 19:30:00,29838.00,29870.00,29804.25,29866.50,6117,2468,3649
2026-07-09 20:00:00,29866.50,29877.25,29817.50,29866.25,4158,2161,1997
2026-07-09 20:30:00,29867.25,29922.75,29854.75,29891.50,3576,1578,1998
2026-07-09 21:00:00,29895.00,29901.25,29854.25,29882.50,3444,1695,1749
2026-07-09 21:30:00,29883.25,29952.50,29874.00,29952.00,3304,1468,1836
2026-07-09 22:00:00,29952.00,29963.50,29922.00,29923.50,1913,1003,910
2026-07-09 22:30:00,29925.25,29933.75,29912.50,29932.25,1517,743,774
2026-07-09 23:00:00,29933.00,29948.75,29917.25,29927.50,1591,813,778
2026-07-09 23:30:00,29928.00,29929.25,29875.25,29881.75,2628,1381,1247
2026-07-10 00:00:00,29883.75,29897.00,29865.75,29876.50,2391,1158,1233
2026-07-10 00:30:00,29877.25,29881.25,29840.00,29845.50,2737,1451,1286
2026-07-10 01:00:00,29847.25,29856.75,29775.25,29789.50,5686,3136,2550
2026-07-10 01:30:00,29788.75,29832.50,29785.50,29819.50,3601,1664,1937
2026-07-10 02:00:00,29819.25,29827.75,29790.50,29816.00,2638,1378,1260
2026-07-10 02:30:00,29816.00,29819.00,29761.75,29774.00,2084,1098,986
2026-07-10 03:00:00,29773.75,29803.75,29743.75,29768.75,3715,1933,1782
2026-07-10 03:30:00,29768.25,29799.00,29754.00,29773.25,2352,1252,1100
2026-07-10 04:00:00,29776.75,29817.50,29717.25,29813.50,4050,2143,1907
2026-07-10 04:30:00,29810.00,29827.75,29800.75,29814.75,2095,1041,1054
2026-07-10 05:00:00,29820.75,29841.75,29805.50,29839.50,2233,1117,1116
2026-07-10 05:30:00,29838.00,29862.25,29834.75,29850.75,2357,1145,1212
2026-07-10 06:00:00,29850.00,29887.75,29849.00,29851.75,3351,1619,1732
2026-07-10 06:30:00,29851.50,29852.00,29806.75,29816.00,3660,1872,1788
2026-07-10 07:00:00,29816.75,29878.75,29771.25,29851.75,7464,3169,4295
2026-07-10 07:30:00,29852.00,29860.75,29800.00,29800.00,5030,2780,2250
2026-07-10 08:00:00,29800.50,29851.00,29790.50,29835.00,7881,3854,4027
2026-07-10 08:30:00,29834.75,29968.50,29798.00,29923.00,53066,26354,26712
2026-07-10 09:00:00,29922.75,29966.00,29844.75,29907.00,36100,17784,18316
2026-07-10 09:30:00,29907.50,29957.25,29675.00,29818.25,35845,18631,17214
2026-07-10 10:00:00,29818.50,29987.50,29780.00,29979.00,28647,13987,14660
2026-07-10 10:30:00,29980.00,29991.50,29834.00,29944.25,28881,14369,14512
2026-07-10 11:00:00,29944.25,30029.00,29943.75,30013.50,21797,10176,11621
2026-07-10 11:30:00,30013.25,30043.25,30004.00,30026.75,13282,6899,6383
2026-07-10 12:00:00,30026.50,30051.50,29996.50,30049.75,11066,5374,5692
2026-07-10 12:30:00,30049.75,30072.25,30031.25,30038.00,11626,5983,5643
2026-07-10 13:00:00,30039.00,30071.00,30021.50,30046.00,15419,7850,7569
2026-07-10 13:30:00,30045.25,30057.75,30028.25,30038.25,8951,4751,4200
2026-07-10 14:00:00,30038.50,30077.75,30033.00,30046.00,11779,5908,5871
2026-07-10 14:30:00,30046.25,30068.00,30024.75,30037.75,24680,12751,11929
2026-07-10 15:00:00,30037.50,30062.00,30031.75,30055.50,7700,3922,3778
2026-07-10 15:30:00,30054.50,30073.75,30051.50,30068.50,2809,1489,1320
2026-07-12 17:00:00,29952.00,29979.50,29855.00,29887.25,9023,4751,4272
2026-07-12 17:30:00,29887.25,29915.00,29871.75,29910.25,3387,1566,1821
2026-07-12 18:00:00,29909.75,29910.50,29869.50,29890.25,2712,1391,1321
2026-07-12 18:30:00,29888.25,29898.25,29845.00,29893.25,3329,1715,1614
2026-07-12 19:00:00,29892.00,30041.00,29871.50,29967.25,9138,4375,4763
2026-07-12 19:30:00,29968.00,29971.75,29807.50,29832.50,8165,4335,3830
2026-07-12 20:00:00,29836.75,29851.25,29788.75,29809.00,5805,2917,2888
2026-07-12 20:30:00,29808.75,29843.25,29737.25,29761.25,6860,3454,3406
2026-07-12 21:00:00,29762.75,29808.75,29727.00,29797.25,5592,2701,2891
2026-07-12 21:30:00,29798.50,29800.00,29714.50,29717.00,3776,2068,1708
2026-07-12 22:00:00,29717.50,29721.25,29682.00,29710.00,3958,2056,1902
2026-07-12 22:30:00,29709.00,29727.25,29683.00,29688.00,3506,1828,1678
2026-07-12 23:00:00,29689.75,29690.00,29638.75,29651.50,3969,2074,1895
2026-07-12 23:30:00,29651.50,29655.75,29612.75,29627.00,2734,1466,1268
2026-07-13 00:00:00,29627.75,29693.75,29577.00,29584.00,5621,2823,2798
2026-07-13 00:30:00,29585.00,29670.75,29542.75,29649.00,5334,2676,2658
2026-07-13 01:00:00,29650.50,29666.00,29585.50,29630.00,3962,2012,1950
2026-07-13 01:30:00,29630.25,29652.00,29598.50,29632.50,3304,1560,1744
2026-07-13 02:00:00,29631.50,29690.25,29607.00,29674.50,3835,1748,2087
2026-07-13 02:30:00,29670.75,29671.25,29636.00,29652.75,2092,1053,1039
2026-07-13 03:00:00,29654.25,29741.50,29647.50,29725.75,4940,2279,2661
2026-07-13 03:30:00,29728.00,29754.00,29700.00,29747.50,2525,1174,1351
2026-07-13 04:00:00,29747.50,29766.25,29718.00,29763.25,2037,968,1069
2026-07-13 04:30:00,29763.00,29776.50,29752.00,29770.75,1620,753,867
2026-07-13 05:00:00,29772.00,29778.00,29738.75,29741.25,2323,1178,1145
2026-07-13 05:30:00,29741.00,29764.00,29735.75,29756.75,1785,859,926
2026-07-13 06:00:00,29755.75,29799.75,29741.50,29774.75,3810,1892,1918
2026-07-13 06:30:00,29773.00,29793.50,29728.75,29741.00,2634,1367,1267
2026-07-13 07:00:00,29742.00,29757.25,29682.75,29684.00,6351,2982,3369
