Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-7, 08:30:00.000000, 29593.00, 29685.75, 29569.25, 29631.50, 7250, 6784, 29619.88, 29628.83, 29627.50, 3459, 3791, 0.00, 0.00
2026-7-7, 08:31:01.373000, 29630.50, 29661.75, 29566.00, 29571.50, 7250, 5869, 29607.44, 29599.75, 29613.88, 4455, 2795, 0.00, 29666.75
2026-7-7, 08:33:21.018000, 29572.25, 29588.75, 29515.25, 29547.00, 7250, 5682, 29555.81, 29550.33, 29552.00, 4273, 2977, 0.00, 29593.75
2026-7-7, 08:35:03.890000, 29547.00, 29577.50, 29503.75, 29518.50, 7250, 6832, 29536.69, 29533.25, 29540.63, 3768, 3482, 0.00, 29582.50
2026-7-7, 08:38:13.772001, 29518.50, 29587.25, 29491.25, 29585.25, 7250, 6728, 29545.56, 29554.58, 29539.25, 3589, 3661, 0.00, 29592.25
2026-7-7, 08:41:00.223000, 29585.00, 29602.75, 29538.00, 29570.00, 7250, 6198, 29573.94, 29570.25, 29570.38, 3330, 3920, 0.00, 29607.75
2026-7-7, 08:44:18.682001, 29570.00, 29607.00, 29517.00, 29543.25, 7250, 6615, 29559.31, 29555.75, 29562.00, 3865, 3385, 0.00, 29612.00
2026-7-7, 08:47:32.863000, 29544.25, 29576.50, 29501.00, 29508.25, 7250, 6465, 29532.50, 29528.58, 29538.75, 3631, 3619, 0.00, 29581.50
2026-7-7, 08:51:16.253003, 29508.25, 29538.25, 29444.50, 29444.50, 7250, 6531, 29483.88, 29475.75, 29491.38, 4017, 3233, 0.00, 29543.25
2026-7-7, 08:54:18.915000, 29445.50, 29475.75, 29420.25, 29443.00, 7250, 6687, 29446.13, 29446.33, 29448.00, 3608, 3642, 0.00, 29480.75
2026-7-7, 08:58:12.408001, 29443.00, 29499.50, 29428.50, 29495.25, 7250, 6745, 29466.56, 29474.42, 29464.00, 3497, 3753, 0.00, 29504.50
2026-7-7, 09:01:00.932001, 29495.50, 29505.75, 29422.50, 29450.00, 7250, 6833, 29468.44, 29459.42, 29464.13, 3844, 3406, 0.00, 0.00
2026-7-7, 09:05:16.569000, 29448.50, 29474.00, 29414.00, 29425.50, 7250, 6831, 29440.50, 29437.83, 29444.00, 3777, 3473, 0.00, 0.00
2026-7-7, 09:10:13.941000, 29425.50, 29432.25, 29364.00, 29377.25, 7250, 6633, 29399.75, 29391.17, 29398.13, 3749, 3501, 0.00, 0.00
2026-7-7, 09:13:55.052005, 29377.25, 29377.25, 29307.00, 29315.25, 7250, 5247, 29344.19, 29333.17, 29342.13, 4419, 2831, 0.00, 0.00
2026-7-7, 09:15:34.246001, 29315.50, 29364.50, 29315.50, 29332.00, 7250, 6545, 29331.88, 29337.33, 29340.00, 3472, 3778, 0.00, 0.00
2026-7-7, 09:19:33.640000, 29332.25, 29378.25, 29296.00, 29310.00, 7250, 6606, 29329.13, 29328.08, 29337.13, 3699, 3551, 0.00, 0.00
2026-7-7, 09:24:00.084001, 29310.00, 29319.25, 29259.75, 29284.75, 7250, 6473, 29293.44, 29287.92, 29289.50, 3708, 3542, 0.00, 0.00
2026-7-7, 09:27:53.935002, 29284.75, 29327.75, 29274.00, 29279.25, 7250, 6775, 29291.44, 29293.67, 29300.88, 3487, 3763, 0.00, 0.00
2026-7-7, 09:32:11.265000, 29279.00, 29320.25, 29240.75, 29276.75, 7250, 6697, 29279.19, 29279.25, 29280.50, 3697, 3553, 0.00, 0.00
2026-7-7, 09:36:58.067000, 29277.50, 29284.75, 29210.00, 29214.00, 7250, 6571, 29246.56, 29236.25, 29247.38, 4059, 3191, 0.00, 0.00
2026-7-7, 09:42:11.469000, 29214.75, 29278.00, 29211.75, 29272.50, 7250, 6583, 29244.25, 29254.08, 29244.88, 3214, 4036, 29206.75, 0.00
2026-7-7, 09:46:52.426000, 29272.25, 29296.75, 29254.25, 29284.75, 7250, 6687, 29277.00, 29278.58, 29275.50, 3424, 3826, 29249.25, 0.00
2026-7-7, 09:52:37.736000, 29284.00, 29322.00, 29276.75, 29306.75, 7250, 6573, 29297.38, 29301.83, 29299.38, 3414, 3836, 29271.75, 0.00
2026-7-7, 09:57:58.464000, 29306.50, 29325.75, 29271.25, 29324.25, 7250, 6618, 29306.94, 29307.08, 29298.50, 3614, 3636, 29266.25, 0.00
2026-7-7, 10:04:05.051000, 29324.25, 29343.50, 29297.50, 29332.00, 7250, 6534, 29324.31, 29324.33, 29320.50, 3567, 3683, 29292.50, 0.00
