Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-7, 08:30:00.000000, 29593.00, 29654.75, 29569.25, 29654.75, 4500, 4219, 29617.94, 29626.25, 29612.00, 2089, 2411, 0.00, 0.00
2026-7-7, 08:30:30.944001, 29654.75, 29685.75, 29604.50, 29639.00, 4500, 4231, 29646.00, 29643.08, 29645.13, 2317, 2183, 0.00, 29690.75
2026-7-7, 08:31:42.117000, 29641.00, 29661.75, 29590.50, 29603.75, 4500, 3301, 29624.25, 29618.67, 29626.13, 2906, 1594, 0.00, 29666.75
2026-7-7, 08:33:04.319000, 29603.00, 29606.00, 29540.25, 29540.50, 4500, 4057, 29572.44, 29562.25, 29573.13, 2535, 1965, 0.00, 29611.00
2026-7-7, 08:34:19.766004, 29540.50, 29553.25, 29509.75, 29517.25, 4500, 3261, 29530.19, 29526.75, 29531.50, 2785, 1715, 0.00, 29558.25
2026-7-7, 08:35:18.770000, 29516.25, 29571.25, 29503.75, 29559.25, 4500, 4215, 29537.63, 29544.75, 29537.50, 2211, 2289, 0.00, 29576.25
2026-7-7, 08:37:18.837022, 29559.00, 29577.50, 29491.25, 29509.75, 4500, 4103, 29534.38, 29526.17, 29534.38, 2559, 1941, 0.00, 29582.50
2026-7-7, 08:39:07.875000, 29509.50, 29583.75, 29494.75, 29581.50, 4500, 4306, 29542.38, 29553.33, 29539.25, 2054, 2446, 0.00, 29588.75
2026-7-7, 08:40:56.822001, 29581.75, 29594.00, 29538.00, 29565.00, 4500, 3805, 29569.69, 29565.67, 29566.00, 2000, 2500, 0.00, 29599.00
2026-7-7, 08:42:55.835000, 29566.00, 29607.00, 29553.00, 29586.00, 4500, 3924, 29578.00, 29582.00, 29580.00, 2087, 2413, 0.00, 29612.00
2026-7-7, 08:45:01.461000, 29585.00, 29596.75, 29528.50, 29540.25, 4500, 4133, 29562.63, 29555.17, 29562.63, 2554, 1946, 0.00, 29601.75
2026-7-7, 08:47:02.370000, 29540.00, 29576.50, 29516.00, 29548.75, 4500, 3897, 29545.31, 29547.08, 29546.25, 2169, 2331, 0.00, 0.00
2026-7-7, 08:49:00.235001, 29549.00, 29550.00, 29494.25, 29499.00, 4500, 4151, 29523.06, 29514.42, 29522.13, 2431, 2069, 0.00, 0.00
2026-7-7, 08:51:29.073001, 29499.25, 29538.25, 29468.00, 29471.00, 4500, 4057, 29494.13, 29492.42, 29503.13, 2487, 2013, 0.00, 0.00
2026-7-7, 08:53:16.157000, 29472.00, 29477.25, 29441.00, 29442.25, 4500, 4035, 29458.13, 29453.50, 29459.13, 2284, 2216, 0.00, 0.00
2026-7-7, 08:55:24.079000, 29442.25, 29457.50, 29421.50, 29433.50, 4500, 4216, 29438.69, 29437.50, 29439.50, 2308, 2192, 0.00, 0.00
2026-7-7, 08:57:57.872000, 29432.75, 29484.25, 29420.25, 29458.50, 4500, 4200, 29448.94, 29454.33, 29452.25, 2163, 2337, 0.00, 0.00
2026-7-7, 09:00:00.767009, 29458.50, 29505.75, 29445.75, 29456.25, 4500, 4195, 29466.56, 29469.25, 29475.75, 2264, 2236, 0.00, 0.00
2026-7-7, 09:01:30.968002, 29456.00, 29494.00, 29434.00, 29438.00, 4500, 4210, 29455.50, 29455.33, 29464.00, 2394, 2106, 0.00, 0.00
2026-7-7, 09:04:23.775004, 29438.00, 29474.00, 29422.50, 29441.50, 4500, 4280, 29444.00, 29446.00, 29448.25, 2288, 2212, 0.00, 0.00
2026-7-7, 09:07:22.001003, 29441.50, 29463.00, 29414.00, 29425.50, 4500, 4244, 29436.00, 29434.17, 29438.50, 2358, 2142, 0.00, 0.00
2026-7-7, 09:10:24.735000, 29426.25, 29426.50, 29375.00, 29377.00, 4500, 4103, 29401.19, 29392.83, 29400.75, 2436, 2064, 0.00, 0.00
2026-7-7, 09:12:42.571001, 29377.25, 29392.75, 29350.00, 29355.75, 4500, 3809, 29368.94, 29366.17, 29371.38, 2206, 2294, 0.00, 0.00
2026-7-7, 09:14:25.149000, 29355.25, 29356.00, 29318.75, 29319.25, 4500, 3017, 29337.31, 29331.33, 29337.38, 3011, 1489, 0.00, 0.00
2026-7-7, 09:15:25.280000, 29320.00, 29356.00, 29307.00, 29330.25, 4500, 4193, 29328.31, 29331.08, 29331.50, 2148, 2352, 0.00, 0.00
2026-7-7, 09:17:33.921001, 29330.25, 29378.25, 29323.75, 29374.75, 4500, 3951, 29351.75, 29358.92, 29351.00, 2056, 2444, 0.00, 0.00
2026-7-7, 09:20:07.221000, 29374.75, 29376.00, 29305.50, 29305.50, 4500, 4150, 29340.44, 29329.00, 29340.75, 2388, 2112, 0.00, 0.00
2026-7-7, 09:23:15.422015, 29305.50, 29324.00, 29268.00, 29271.25, 4500, 3863, 29292.19, 29287.75, 29296.00, 2608, 1892, 0.00, 0.00
2026-7-7, 09:25:09.861000, 29270.75, 29296.50, 29259.75, 29284.75, 4500, 4178, 29277.94, 29280.33, 29278.13, 2064, 2436, 0.00, 0.00
2026-7-7, 09:27:53.935002, 29284.75, 29315.75, 29274.00, 29309.75, 4500, 4236, 29296.06, 29299.83, 29294.88, 2116, 2384, 0.00, 0.00
2026-7-7, 09:30:21.211000, 29309.00, 29327.75, 29270.75, 29315.75, 4500, 4223, 29305.81, 29304.75, 29299.25, 2202, 2298, 0.00, 0.00
2026-7-7, 09:33:25.075000, 29314.50, 29316.50, 29240.75, 29242.50, 4500, 4090, 29278.56, 29266.58, 29278.63, 2436, 2064, 0.00, 29321.50
2026-7-7, 09:36:19.035000, 29242.75, 29284.75, 29242.75, 29257.50, 4500, 4137, 29256.94, 29261.67, 29263.75, 2300, 2200, 0.00, 29289.75
2026-7-7, 09:40:06.492000, 29257.50, 29274.75, 29210.00, 29230.50, 4500, 4024, 29243.19, 29238.42, 29242.38, 2529, 1971, 0.00, 29279.75
2026-7-7, 09:42:33.779000, 29229.75, 29263.75, 29226.25, 29242.00, 4500, 4217, 29240.44, 29244.00, 29245.00, 2043, 2457, 0.00, 0.00
2026-7-7, 09:45:55.004001, 29241.75, 29292.50, 29235.50, 29274.75, 4500, 3997, 29261.13, 29267.58, 29264.00, 1994, 2506, 0.00, 0.00
2026-7-7, 09:48:41.079000, 29275.00, 29296.75, 29254.25, 29282.00, 4500, 4164, 29277.00, 29277.67, 29275.50, 2149, 2351, 0.00, 0.00
2026-7-7, 09:52:18.390000, 29281.75, 29320.00, 29276.75, 29320.00, 4500, 4054, 29299.63, 29305.58, 29298.38, 2058, 2442, 0.00, 0.00
2026-7-7, 09:55:25.273010, 29320.00, 29325.75, 29284.00, 29318.75, 4500, 4125, 29312.13, 29309.50, 29304.88, 2118, 2382, 0.00, 0.00
2026-7-7, 09:59:18.532001, 29319.00, 29323.50, 29271.25, 29301.50, 4500, 4121, 29303.81, 29298.75, 29297.38, 2442, 2058, 0.00, 29328.50
2026-7-7, 10:02:42.928002, 29301.50, 29329.75, 29291.25, 29299.25, 4500, 4019, 29305.44, 29306.75, 29310.50, 2233, 2267, 0.00, 29334.75
2026-7-7, 10:07:07.102001, 29299.25, 29343.50, 29297.50, 29340.00, 4500, 4109, 29320.06, 29327.00, 29320.50, 2113, 2387, 0.00, 0.00
2026-7-7, 10:12:16.595003, 29340.00, 29358.00, 29296.25, 29309.25, 4500, 4060, 29325.88, 29321.17, 29327.13, 2336, 2164, 0.00, 0.00
2026-7-7, 10:16:00.239001, 29309.50, 29316.25, 29274.25, 29282.00, 4500, 4068, 29295.50, 29290.83, 29295.25, 2336, 2164, 0.00, 0.00
2026-7-7, 10:20:52.707000, 29281.25, 29318.25, 29271.75, 29290.25, 4500, 4192, 29290.38, 29293.42, 29295.00, 2246, 2254, 0.00, 0.00
2026-7-7, 10:26:39.050008, 29290.25, 29323.75, 29286.00, 29308.75, 4500, 4113, 29302.19, 29306.17, 29304.88, 2101, 2399, 0.00, 0.00
2026-7-7, 10:33:08.132001, 29308.75, 29319.75, 29266.75, 29272.00, 4500, 4181, 29291.81, 29286.17, 29293.25, 2283, 2217, 0.00, 0.00
2026-7-7, 10:39:26.646001, 29272.00, 29308.75, 29248.25, 29300.00, 4500, 3999, 29282.25, 29285.67, 29278.50, 2362, 2138, 0.00, 0.00
2026-7-7, 10:43:55.505002, 29300.00, 29366.75, 29295.25, 29365.25, 4500, 4133, 29331.81, 29342.42, 29331.00, 2007, 2493, 29290.25, 0.00
2026-7-7, 10:47:29.157000, 29365.50, 29376.75, 29332.25, 29355.00, 4500, 3840, 29357.38, 29354.67, 29354.50, 2397, 2103, 0.00, 0.00
2026-7-7, 10:52:06.168000, 29353.75, 29384.00, 29347.00, 29378.75, 4500, 4204, 29365.88, 29369.92, 29365.50, 2241, 2259, 29342.00, 0.00
2026-7-7, 10:58:41.045001, 29378.75, 29432.00, 29372.50, 29421.25, 4500, 3977, 29401.13, 29408.58, 29402.25, 2017, 2483, 29367.50, 0.00
2026-7-7, 11:03:10.748000, 29421.25, 29452.00, 29404.00, 29422.50, 4500, 4037, 29424.94, 29426.17, 29428.00, 2157, 2343, 29399.00, 0.00
2026-7-7, 11:07:19.067008, 29422.50, 29457.75, 29398.00, 29457.75, 4500, 3978, 29434.00, 29437.83, 29427.88, 2197, 2303, 29393.00, 0.00
2026-7-7, 11:12:53.810007, 29457.75, 29473.75, 29453.50, 29465.50, 4500, 4076, 29462.63, 29464.25, 29463.63, 2070, 2430, 29448.50, 0.00
2026-7-7, 11:16:41.010001, 29465.50, 29503.00, 29450.50, 29499.00, 4500, 3685, 29479.50, 29484.17, 29476.75, 1865, 2635, 29445.50, 0.00
2026-7-7, 11:21:43.626000, 29498.50, 29548.00, 29498.00, 29518.00, 4500, 3527, 29515.63, 29521.33, 29523.00, 1900, 2600, 29493.00, 0.00
2026-7-7, 11:23:47.206000, 29518.00, 29544.75, 29501.50, 29536.50, 4500, 3926, 29525.19, 29527.58, 29523.13, 2134, 2366, 0.00, 0.00
