Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-7, 08:30:00.000000, 29593.00, 29685.75, 29569.25, 29643.50, 6750, 6307, 29622.88, 29632.83, 29627.50, 3196, 3554, 0.00, 0.00
2026-7-7, 08:30:53.487001, 29643.25, 29661.75, 29590.50, 29603.75, 6750, 5444, 29624.81, 29618.67, 29626.13, 4116, 2634, 0.00, 29666.75
2026-7-7, 08:33:04.319000, 29603.00, 29606.00, 29515.25, 29523.25, 6750, 5179, 29561.88, 29548.17, 29560.63, 4177, 2573, 0.00, 29611.00
2026-7-7, 08:34:35.192000, 29522.00, 29571.25, 29503.75, 29559.25, 6750, 6354, 29539.06, 29544.75, 29537.50, 3354, 3396, 0.00, 29576.25
2026-7-7, 08:37:18.837022, 29559.00, 29577.50, 29491.25, 29530.25, 6750, 6283, 29539.50, 29533.00, 29534.38, 3649, 3101, 0.00, 29582.50
2026-7-7, 08:40:01.050000, 29530.00, 29594.00, 29524.75, 29565.00, 6750, 5931, 29553.44, 29561.25, 29559.38, 2964, 3786, 0.00, 29599.00
2026-7-7, 08:42:55.835000, 29566.00, 29607.00, 29553.00, 29566.50, 6750, 6043, 29573.13, 29575.50, 29580.00, 3366, 3384, 0.00, 29612.00
2026-7-7, 08:45:59.950000, 29566.50, 29578.50, 29516.00, 29548.75, 6750, 5911, 29552.44, 29547.75, 29547.25, 3444, 3306, 0.00, 29583.50
2026-7-7, 08:49:00.235001, 29549.00, 29550.00, 29477.25, 29527.25, 6750, 6180, 29525.88, 29518.17, 29513.63, 3605, 3145, 0.00, 29555.00
2026-7-7, 08:52:06.342000, 29527.50, 29538.25, 29441.00, 29442.25, 6750, 6063, 29487.25, 29473.83, 29489.63, 3597, 3153, 0.00, 29543.25
2026-7-7, 08:55:24.079000, 29442.25, 29468.00, 29420.25, 29448.25, 6750, 6371, 29444.69, 29445.50, 29444.13, 3366, 3384, 0.00, 29473.00
2026-7-7, 08:59:01.075024, 29448.25, 29505.75, 29444.50, 29456.25, 6750, 6240, 29463.69, 29468.83, 29475.13, 3369, 3381, 0.00, 0.00
2026-7-7, 09:01:30.968002, 29456.00, 29494.00, 29422.50, 29442.75, 6750, 6380, 29453.81, 29453.08, 29458.25, 3544, 3206, 0.00, 0.00
2026-7-7, 09:05:48.023001, 29443.00, 29474.00, 29414.00, 29425.50, 6750, 6354, 29439.13, 29437.83, 29444.00, 3496, 3254, 29409.00, 0.00
2026-7-7, 09:10:24.735000, 29426.25, 29426.50, 29364.00, 29374.75, 6750, 6159, 29397.88, 29388.42, 29395.25, 3502, 3248, 29359.00, 0.00
2026-7-7, 09:13:40.352000, 29375.00, 29381.25, 29318.75, 29319.25, 6750, 4770, 29348.56, 29339.75, 29350.00, 4151, 2599, 0.00, 0.00
2026-7-7, 09:15:25.280000, 29320.00, 29364.50, 29307.00, 29358.25, 6750, 6088, 29337.44, 29343.25, 29335.75, 3209, 3541, 29302.00, 0.00
2026-7-7, 09:18:36.652000, 29358.75, 29378.25, 29305.50, 29305.50, 6750, 6206, 29337.00, 29329.75, 29341.88, 3383, 3367, 29300.50, 0.00
2026-7-7, 09:23:15.422015, 29305.50, 29324.00, 29260.75, 29265.00, 6750, 5877, 29288.81, 29283.25, 29292.38, 3680, 3070, 0.00, 0.00
2026-7-7, 09:26:29.718000, 29264.50, 29315.75, 29259.75, 29309.75, 6750, 6400, 29287.44, 29295.08, 29287.75, 3108, 3642, 29254.75, 0.00
2026-7-7, 09:30:21.211000, 29309.00, 29327.75, 29259.25, 29259.25, 6750, 6331, 29288.81, 29282.08, 29293.50, 3427, 3323, 0.00, 0.00
2026-7-7, 09:35:30.642004, 29258.75, 29284.75, 29240.75, 29257.50, 6750, 6119, 29260.44, 29261.00, 29262.75, 3511, 3239, 0.00, 0.00
2026-7-7, 09:40:06.492000, 29257.50, 29274.75, 29210.00, 29229.00, 6750, 6117, 29242.81, 29237.92, 29242.38, 3569, 3181, 0.00, 0.00
2026-7-7, 09:44:21.248001, 29229.00, 29292.50, 29227.00, 29274.75, 6750, 6121, 29255.81, 29264.75, 29259.75, 2997, 3753, 29222.00, 0.00
2026-7-7, 09:48:41.079000, 29275.00, 29315.75, 29254.25, 29299.50, 6750, 6162, 29286.13, 29289.83, 29285.00, 3113, 3637, 29249.25, 0.00
2026-7-7, 09:53:45.702011, 29299.50, 29325.75, 29276.75, 29318.75, 6750, 6181, 29305.19, 29307.08, 29301.25, 3212, 3538, 29271.75, 0.00
2026-7-7, 09:59:18.532001, 29319.00, 29325.00, 29271.25, 29313.50, 6750, 6167, 29307.19, 29303.25, 29298.13, 3496, 3254, 0.00, 0.00
2026-7-7, 10:04:57.108000, 29313.25, 29343.50, 29297.50, 29340.00, 6750, 6082, 29323.56, 29327.00, 29320.50, 3292, 3458, 0.00, 0.00
2026-7-7, 10:12:16.595003, 29340.00, 29358.00, 29285.50, 29285.75, 6750, 6031, 29317.31, 29309.75, 29321.75, 3523, 3227, 0.00, 29363.00
2026-7-7, 10:18:21.145010, 29285.50, 29318.25, 29271.75, 29290.25, 6750, 6289, 29291.44, 29293.42, 29295.00, 3395, 3355, 0.00, 29323.25
