DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-14 21:26:05,29963.86,29981.50,29958.50,29970.06,0.00,2.00
2026-07-14 21:36:26,29966.96,29987.25,29966.96,29977.25,0.00,2.00
2026-07-14 21:50:25,29972.11,29978.25,29956.75,29966.38,0.00,2.00
2026-07-14 22:00:42,29969.24,29969.24,29947.25,29956.75,0.00,2.00
2026-07-14 22:13:04,29963.00,29981.00,29950.00,29965.31,0.00,3.00
2026-07-14 22:19:40,29964.15,29992.00,29964.15,29980.69,0.00,3.00
2026-07-14 22:31:33,29972.42,30000.00,29972.42,29992.00,0.00,3.00
2026-07-14 22:41:59,29982.21,30018.00,29982.21,30004.31,0.00,3.00
2026-07-14 22:51:48,29993.26,30019.25,29993.26,30007.44,0.00,2.00
2026-07-14 23:08:19,30000.35,30013.00,29995.75,30001.69,0.00,2.00
2026-07-14 23:29:01,30001.02,30005.75,29983.25,29997.88,0.00,2.00
2026-07-14 23:37:22,29999.45,30018.00,29999.45,30009.12,0.00,2.00
2026-07-14 23:53:57,30004.29,30041.75,30004.29,30024.75,0.00,3.00
2026-07-15 00:00:01,30014.52,30058.25,30014.52,30043.31,0.00,4.00
2026-07-15 00:00:53,30028.91,30055.50,30014.00,30037.31,0.00,2.00
2026-07-15 00:02:00,30033.11,30035.50,30001.25,30019.19,0.00,2.00
2026-07-15 00:05:31,30026.15,30026.15,29992.50,30013.38,0.00,2.00
2026-07-15 00:10:01,30019.76,30025.75,29995.00,30011.19,0.00,-2.00
2026-07-15 00:15:10,30015.47,30025.00,29984.75,29998.75,0.00,-2.00
2026-07-15 00:26:11,30007.11,30007.11,29968.50,29978.25,0.00,-2.00
2026-07-15 00:31:50,29992.68,30006.00,29967.75,29986.25,0.00,-2.00
2026-07-15 00:37:40,29989.46,30009.50,29984.25,29996.75,0.00,-2.00
2026-07-15 00:47:29,29993.11,30024.50,29990.75,30007.19,0.00,-2.00
2026-07-15 00:57:18,30000.15,30045.75,30000.15,30031.88,0.00,3.00
2026-07-15 01:03:16,30016.01,30049.50,30016.01,30041.19,0.00,3.00
2026-07-15 01:07:25,30028.60,30050.00,30027.75,30038.81,0.00,3.00
2026-07-15 01:16:37,30033.71,30045.25,30023.00,30033.38,0.00,3.00
2026-07-15 01:31:02,30033.54,30033.54,30009.75,30022.44,0.00,3.00
2026-07-15 01:40:32,30027.99,30033.00,30014.75,30025.31,0.00,3.00
2026-07-15 01:55:23,30026.65,30038.00,30012.25,30027.38,0.00,3.00
2026-07-15 02:00:02,30027.01,30052.25,30007.50,30033.88,0.00,-1.00
2026-07-15 02:05:03,30030.44,30062.50,30030.44,30047.00,0.00,-1.00
2026-07-15 02:09:49,30038.72,30049.25,30026.75,30037.44,0.00,-1.00
2026-07-15 02:16:03,30038.08,30038.08,29992.00,30013.44,0.00,-1.00
2026-07-15 02:22:16,30025.76,30025.76,29952.50,29974.44,0.00,-2.00
2026-07-15 02:26:38,30000.10,30000.10,29928.00,29948.81,0.00,-2.00
2026-07-15 02:28:16,29974.46,29974.46,29945.25,29956.19,0.00,-2.00
2026-07-15 02:31:27,29965.32,29975.75,29946.75,29962.06,0.00,-2.00
